antecedents,consequents,support,confidence,lift
"frozenset({'cafe', 'presunto'})",frozenset({'leite integral'}),0.14285714285714285,1.0,7.0
"frozenset({'cafe', 'leite integral'})",frozenset({'presunto'}),0.14285714285714285,1.0,7.0
frozenset({'sabonete'}),"frozenset({'carvao', 'cafe'})",0.14285714285714285,1.0,7.0
frozenset({'cafe'}),"frozenset({'carvao', 'sabonete'})",0.14285714285714285,1.0,7.0
frozenset({'carvao'}),"frozenset({'cafe', 'sabonete'})",0.14285714285714285,1.0,7.0
"frozenset({'cafe', 'sabonete'})",frozenset({'carvao'}),0.14285714285714285,1.0,7.0
"frozenset({'leite integral', 'presunto'})","frozenset({'carvao', 'cafe'})",0.14285714285714285,1.0,7.0
"frozenset({'cafe', 'presunto'})","frozenset({'carvao', 'leite integral'})",0.14285714285714285,1.0,7.0
"frozenset({'cafe', 'leite integral'})","frozenset({'carvao', 'presunto'})",0.14285714285714285,1.0,7.0
"frozenset({'carvao', 'presunto'})","frozenset({'cafe', 'leite integral'})",0.14285714285714285,1.0,7.0
"frozenset({'carvao', 'leite integral'})","frozenset({'cafe', 'presunto'})",0.14285714285714285,1.0,7.0
"frozenset({'carvao', 'cafe'})","frozenset({'leite integral', 'presunto'})",0.14285714285714285,1.0,7.0
"frozenset({'cafe', 'leite integral', 'presunto'})",frozenset({'carvao'}),0.14285714285714285,1.0,7.0
"frozenset({'carvao', 'leite integral', 'presunto'})",frozenset({'cafe'}),0.14285714285714285,1.0,7.0
"frozenset({'carvao', 'cafe', 'presunto'})",frozenset({'leite integral'}),0.14285714285714285,1.0,7.0
"frozenset({'carvao', 'cafe', 'leite integral'})",frozenset({'presunto'}),0.14285714285714285,1.0,7.0
frozenset({'presunto'}),"frozenset({'cafe', 'sabonete'})",0.14285714285714285,1.0,7.0
frozenset({'sabonete'}),"frozenset({'cafe', 'presunto'})",0.14285714285714285,1.0,7.0
frozenset({'cafe'}),"frozenset({'sabonete', 'presunto'})",0.14285714285714285,1.0,7.0
"frozenset({'sabonete', 'presunto'})",frozenset({'cafe'}),0.14285714285714285,1.0,7.0
"frozenset({'cafe', 'presunto'})",frozenset({'sabonete'}),0.14285714285714285,1.0,7.0
"frozenset({'cafe', 'sabonete'})",frozenset({'presunto'}),0.14285714285714285,1.0,7.0
frozenset({'cafe'}),"frozenset({'carvao', 'leite integral', 'sabonete'})",0.14285714285714285,1.0,7.0
frozenset({'carvao'}),"frozenset({'cafe', 'leite integral', 'sabonete'})",0.14285714285714285,1.0,7.0
"frozenset({'leite integral', 'sabonete'})","frozenset({'carvao', 'cafe'})",0.14285714285714285,1.0,7.0
"frozenset({'cafe', 'sabonete'})","frozenset({'carvao', 'leite integral'})",0.14285714285714285,1.0,7.0
"frozenset({'cafe', 'leite integral'})","frozenset({'carvao', 'sabonete'})",0.14285714285714285,1.0,7.0
"frozenset({'carvao', 'sabonete'})","frozenset({'cafe', 'leite integral'})",0.14285714285714285,1.0,7.0
"frozenset({'carvao', 'leite integral'})","frozenset({'cafe', 'sabonete'})",0.14285714285714285,1.0,7.0
"frozenset({'carvao', 'cafe'})","frozenset({'leite integral', 'sabonete'})",0.14285714285714285,1.0,7.0
"frozenset({'cafe', 'leite integral', 'sabonete'})",frozenset({'carvao'}),0.14285714285714285,1.0,7.0
"frozenset({'carvao', 'leite integral', 'sabonete'})",frozenset({'cafe'}),0.14285714285714285,1.0,7.0
"frozenset({'carvao', 'cafe', 'sabonete'})",frozenset({'leite integral'}),0.14285714285714285,1.0,7.0
"frozenset({'carvao', 'cafe', 'leite integral'})",frozenset({'sabonete'}),0.14285714285714285,1.0,7.0
frozenset({'presunto'}),"frozenset({'carvao', 'cafe', 'leite integral'})",0.14285714285714285,1.0,7.0
frozenset({'leite integral'}),"frozenset({'carvao', 'cafe', 'presunto'})",0.14285714285714285,1.0,7.0
frozenset({'cafe'}),"frozenset({'carvao', 'leite integral', 'presunto'})",0.14285714285714285,1.0,7.0
frozenset({'carvao'}),"frozenset({'cafe', 'leite integral', 'presunto'})",0.14285714285714285,1.0,7.0
frozenset({'presunto'}),"frozenset({'carvao', 'cafe', 'sabonete'})",0.14285714285714285,1.0,7.0
frozenset({'sabonete'}),"frozenset({'carvao', 'cafe', 'presunto'})",0.14285714285714285,1.0,7.0
frozenset({'cafe'}),"frozenset({'carvao', 'sabonete', 'presunto'})",0.14285714285714285,1.0,7.0
frozenset({'carvao'}),"frozenset({'cafe', 'sabonete', 'presunto'})",0.14285714285714285,1.0,7.0
"frozenset({'sabonete', 'presunto'})","frozenset({'carvao', 'cafe'})",0.14285714285714285,1.0,7.0
"frozenset({'cafe', 'presunto'})","frozenset({'carvao', 'sabonete'})",0.14285714285714285,1.0,7.0
"frozenset({'cafe', 'sabonete'})","frozenset({'carvao', 'presunto'})",0.14285714285714285,1.0,7.0
"frozenset({'carvao', 'presunto'})","frozenset({'cafe', 'sabonete'})",0.14285714285714285,1.0,7.0
"frozenset({'carvao', 'sabonete'})","frozenset({'cafe', 'presunto'})",0.14285714285714285,1.0,7.0
"frozenset({'carvao', 'cafe'})","frozenset({'sabonete', 'presunto'})",0.14285714285714285,1.0,7.0
"frozenset({'cafe', 'sabonete', 'presunto'})",frozenset({'carvao'}),0.14285714285714285,1.0,7.0
"frozenset({'carvao', 'sabonete', 'presunto'})",frozenset({'cafe'}),0.14285714285714285,1.0,7.0
"frozenset({'carvao', 'cafe', 'presunto'})",frozenset({'sabonete'}),0.14285714285714285,1.0,7.0
"frozenset({'carvao', 'cafe', 'sabonete'})",frozenset({'presunto'}),0.14285714285714285,1.0,7.0
frozenset({'sabonete'}),"frozenset({'carvao', 'cafe', 'leite integral'})",0.14285714285714285,1.0,7.0
frozenset({'leite integral'}),"frozenset({'carvao', 'cafe', 'sabonete'})",0.14285714285714285,1.0,7.0
"frozenset({'carvao', 'leite integral', 'sabonete', 'presunto'})",frozenset({'cafe'}),0.14285714285714285,1.0,7.0
"frozenset({'carvao', 'cafe', 'leite integral', 'sabonete'})",frozenset({'presunto'}),0.14285714285714285,1.0,7.0
frozenset({'presunto'}),"frozenset({'cafe', 'leite integral', 'sabonete'})",0.14285714285714285,1.0,7.0
frozenset({'sabonete'}),"frozenset({'cafe', 'leite integral', 'presunto'})",0.14285714285714285,1.0,7.0
frozenset({'leite integral'}),"frozenset({'cafe', 'sabonete', 'presunto'})",0.14285714285714285,1.0,7.0
frozenset({'cafe'}),"frozenset({'leite integral', 'sabonete', 'presunto'})",0.14285714285714285,1.0,7.0
"frozenset({'sabonete', 'presunto'})","frozenset({'cafe', 'leite integral'})",0.14285714285714285,1.0,7.0
"frozenset({'leite integral', 'presunto'})","frozenset({'cafe', 'sabonete'})",0.14285714285714285,1.0,7.0
"frozenset({'leite integral', 'sabonete'})","frozenset({'cafe', 'presunto'})",0.14285714285714285,1.0,7.0
"frozenset({'cafe', 'presunto'})","frozenset({'leite integral', 'sabonete'})",0.14285714285714285,1.0,7.0
"frozenset({'cafe', 'sabonete'})","frozenset({'leite integral', 'presunto'})",0.14285714285714285,1.0,7.0
"frozenset({'cafe', 'leite integral'})","frozenset({'sabonete', 'presunto'})",0.14285714285714285,1.0,7.0
"frozenset({'leite integral', 'sabonete', 'presunto'})",frozenset({'cafe'}),0.14285714285714285,1.0,7.0
"frozenset({'cafe', 'sabonete', 'presunto'})",frozenset({'leite integral'}),0.14285714285714285,1.0,7.0
"frozenset({'cafe', 'leite integral', 'presunto'})",frozenset({'sabonete'}),0.14285714285714285,1.0,7.0
"frozenset({'cafe', 'leite integral', 'sabonete'})",frozenset({'presunto'}),0.14285714285714285,1.0,7.0
"frozenset({'cafe', 'leite integral'})","frozenset({'carvao', 'sabonete', 'presunto'})",0.14285714285714285,1.0,7.0
"frozenset({'carvao', 'leite integral'})","frozenset({'cafe', 'sabonete', 'presunto'})",0.14285714285714285,1.0,7.0
